date,ticker,open,high,low,close,volume,amount,adj_factor
2026-05-19,AAA,33.6,34.45,33.09,33.77,74030.0,2560000,1.0
2026-05-20,AAA,33.78,34.63,33.27,33.95,73638.0,2500000,1.0
2026-05-21,AAA,33.99,34.84,33.48,34.16,73185.0,2510000,1.0
2026-05-22,AAA,34.23,35.09,33.71,34.4,72674.0,2520000,1.0
2026-05-25,AAA,34.35,35.21,33.83,34.52,72422.0,2530000,1.0
2026-05-26,AAA,34.5,35.36,33.98,34.67,72108.0,2540000,1.0
2026-05-27,AAA,34.68,35.55,34.15,34.85,71736.0,2550000,1.0
2026-05-28,AAA,34.88,35.76,34.36,35.06,71306.0,2560000,1.0
2026-05-29,AAA,35.12,36.01,34.59,35.3,70822.0,2500000,1.0
2026-06-01,AAA,35.24,36.13,34.71,35.42,70582.0,2510000,1.0
2026-06-02,AAA,35.39,36.28,34.86,35.57,70284.0,2520000,1.0
2026-06-03,AAA,35.57,36.46,35.03,35.75,69930.0,2530000,1.0
2026-06-04,AAA,35.78,36.68,35.24,35.96,69522.0,2540000,1.0
2026-06-05,AAA,36.02,36.92,35.48,36.2,69061.0,2550000,1.0
2026-06-08,AAA,36.14,37.05,35.59,36.32,68833.0,2560000,1.0
2026-06-09,AAA,36.29,37.2,35.74,36.47,68549.0,2500000,1.0
2026-06-10,AAA,36.47,37.38,35.92,36.65,68213.0,2510000,1.0
2026-06-11,AAA,36.68,37.6,36.12,36.86,67824.0,2520000,1.0
2026-06-12,AAA,36.91,37.84,36.36,37.1,67385.0,2530000,1.0
2026-06-15,AAA,37.03,37.96,36.48,37.22,67168.0,2540000,1.0
2026-06-16,AAA,37.18,38.12,36.62,37.37,66899.0,2550000,1.0
2026-06-17,AAA,37.36,38.3,36.8,37.55,66578.0,2560000,1.0
2026-06-18,AAA,37.57,38.52,37.0,37.76,66208.0,2500000,1.0
2026-06-19,AAA,37.81,38.76,37.24,38.0,65789.0,2510000,1.0
2026-06-22,AAA,37.93,38.88,37.36,38.12,65582.0,2520000,1.0
2026-06-23,AAA,38.08,39.04,37.5,38.27,65325.0,2530000,1.0
2026-06-24,AAA,38.26,39.22,37.68,38.45,65020.0,2540000,1.0
2026-06-25,AAA,38.47,39.43,37.89,38.66,64666.0,2550000,1.0
2026-06-26,AAA,38.71,39.68,38.12,38.9,64267.0,2560000,1.0
2026-06-29,AAA,38.82,39.8,38.24,39.02,64070.0,2500000,1.0
2026-06-30,AAA,38.97,39.95,38.39,39.17,63824.0,2510000,1.0
2026-07-01,AAA,39.15,40.14,38.56,39.35,63532.0,2520000,1.0
2026-07-02,AAA,39.36,40.35,38.77,39.56,63195.0,2530000,1.0
2026-07-03,AAA,39.6,40.6,39.0,39.8,62814.0,2540000,1.0
2026-07-06,AAA,39.72,40.72,39.12,39.92,62625.0,2550000,1.0
2026-07-07,AAA,39.87,40.87,39.27,40.07,62391.0,2560000,1.0
2026-07-08,AAA,40.05,41.05,39.44,40.25,62112.0,2500000,1.0
2026-07-09,AAA,40.26,41.27,39.65,40.46,61789.0,2510000,1.0
2026-07-10,AAA,40.5,41.51,39.89,40.7,61425.0,2520000,1.0
2026-02-02,BBB,34.74,35.61,34.21,34.91,57290.0,2000000,1.0
2026-02-03,BBB,34.68,35.55,34.15,34.85,57389.0,2010000,1.0
2026-02-04,BBB,34.65,35.52,34.12,34.82,57438.0,2020000,1.0
2026-02-05,BBB,34.65,35.52,34.12,34.82,57438.0,2030000,1.0
2026-02-06,BBB,34.68,35.55,34.15,34.85,57389.0,2040000,1.0
2026-02-09,BBB,34.59,35.46,34.06,34.76,57537.0,2050000,1.0
2026-02-10,BBB,34.53,35.39,34.01,34.7,57637.0,2060000,1.0
2026-02-11,BBB,34.5,35.36,33.98,34.67,57687.0,2000000,1.0
2026-02-12,BBB,34.5,35.36,33.98,34.67,57687.0,2010000,1.0
2026-02-13,BBB,34.53,35.39,34.01,34.7,57637.0,2020000,1.0
2026-02-16,BBB,34.44,35.3,33.92,34.61,57787.0,2030000,1.0
2026-02-17,BBB,34.38,35.24,33.86,34.55,57887.0,2040000,1.0
2026-02-18,BBB,34.35,35.21,33.83,34.52,57937.0,2050000,1.0
2026-02-19,BBB,34.35,35.21,33.83,34.52,57937.0,2060000,1.0
2026-02-20,BBB,34.38,35.24,33.86,34.55,57887.0,2000000,1.0
2026-02-23,BBB,34.29,35.15,33.77,34.46,58038.0,2010000,1.0
2026-02-24,BBB,34.23,35.09,33.71,34.4,58140.0,2020000,1.0
2026-02-25,BBB,34.2,35.06,33.68,34.37,58190.0,2030000,1.0
2026-02-26,BBB,34.2,35.06,33.68,34.37,58190.0,2040000,1.0
2026-02-27,BBB,34.23,35.09,33.71,34.4,58140.0,2050000,1.0
2026-03-02,BBB,34.14,35.0,33.62,34.31,58292.0,2060000,1.0
2026-03-03,BBB,34.08,34.93,33.56,34.25,58394.0,2000000,1.0
2026-03-04,BBB,34.05,34.9,33.54,34.22,58445.0,2010000,1.0
2026-03-05,BBB,34.05,34.9,33.54,34.22,58445.0,2020000,1.0
2026-03-06,BBB,34.08,34.93,33.56,34.25,58394.0,2030000,1.0
2026-03-09,BBB,33.99,34.84,33.48,34.16,58548.0,2040000,1.0
2026-03-10,BBB,33.93,34.78,33.42,34.1,58651.0,2050000,1.0
2026-03-11,BBB,33.9,34.75,33.39,34.07,58703.0,2060000,1.0
2026-03-12,BBB,33.9,34.75,33.39,34.07,58703.0,2000000,1.0
2026-03-13,BBB,33.93,34.78,33.42,34.1,58651.0,2010000,1.0
2026-03-16,BBB,33.84,34.69,33.33,34.01,58806.0,2020000,1.0
2026-03-17,BBB,33.78,34.63,33.27,33.95,58910.0,2030000,1.0
2026-03-18,BBB,33.75,34.6,33.24,33.92,58962.0,2040000,1.0
2026-03-19,BBB,33.75,34.6,33.24,33.92,58962.0,2050000,1.0
2026-03-20,BBB,33.78,34.63,33.27,33.95,58910.0,2060000,1.0
2026-03-23,BBB,33.69,34.54,33.18,33.86,59067.0,2000000,1.0
2026-03-24,BBB,33.63,34.48,33.12,33.8,59172.0,2010000,1.0
2026-03-25,BBB,33.6,34.45,33.09,33.77,59224.0,2020000,1.0
2026-03-26,BBB,33.6,34.45,33.09,33.77,59224.0,2030000,1.0
2026-03-27,BBB,33.63,34.48,33.12,33.8,59172.0,2040000,1.0
2026-03-30,BBB,33.54,34.38,33.04,33.71,59330.0,2050000,1.0
2026-03-31,BBB,33.48,34.32,32.98,33.65,59435.0,2060000,1.0
2026-04-01,BBB,33.45,34.29,32.95,33.62,59488.0,2000000,1.0
2026-04-02,BBB,33.45,34.29,32.95,33.62,59488.0,2010000,1.0
2026-04-03,BBB,33.48,34.32,32.98,33.65,59435.0,2020000,1.0
2026-04-06,BBB,33.39,34.23,32.89,33.56,59595.0,2030000,1.0
2026-04-07,BBB,33.33,34.17,32.83,33.5,59701.0,2040000,1.0
2026-04-08,BBB,33.3,34.14,32.8,33.47,59755.0,2050000,1.0
2026-04-09,BBB,33.3,34.14,32.8,33.47,59755.0,2060000,1.0
2026-04-10,BBB,33.33,34.17,32.83,33.5,59701.0,2000000,1.0
2026-04-13,BBB,33.24,34.08,32.74,33.41,59862.0,2010000,1.0
2026-04-14,BBB,33.18,34.02,32.68,33.35,59970.0,2020000,1.0
2026-04-15,BBB,33.15,33.99,32.65,33.32,60024.0,2030000,1.0
2026-04-16,BBB,33.15,33.99,32.65,33.32,60024.0,2040000,1.0
2026-04-17,BBB,33.18,34.02,32.68,33.35,59970.0,2050000,1.0
2026-04-20,BBB,33.09,33.93,32.59,33.26,60132.0,2060000,1.0
2026-04-21,BBB,33.03,33.86,32.54,33.2,60241.0,2000000,1.0
2026-04-22,BBB,33.0,33.83,32.51,33.17,60295.0,2010000,1.0
2026-04-23,BBB,33.0,33.83,32.51,33.17,60295.0,2020000,1.0
2026-04-24,BBB,33.03,33.86,32.54,33.2,60241.0,2030000,1.0
2026-04-27,BBB,32.94,33.77,32.45,33.11,60405.0,2040000,1.0
2026-04-28,BBB,32.88,33.71,32.39,33.05,60514.0,2050000,1.0
2026-04-29,BBB,32.85,33.68,32.36,33.02,60569.0,2060000,1.0
2026-04-30,BBB,32.85,33.68,32.36,33.02,60569.0,2000000,1.0
2026-05-01,BBB,32.88,33.71,32.39,33.05,60514.0,2010000,1.0
2026-05-04,BBB,32.8,33.62,32.3,32.96,60680.0,2020000,1.0
2026-05-05,BBB,32.74,33.56,32.24,32.9,60790.0,2030000,1.0
2026-05-06,BBB,32.71,33.53,32.21,32.87,60846.0,2040000,1.0
2026-05-07,BBB,32.71,33.53,32.21,32.87,60846.0,2050000,1.0
2026-05-08,BBB,32.74,33.56,32.24,32.9,60790.0,2060000,1.0
2026-05-11,BBB,32.65,33.47,32.15,32.81,60957.0,2000000,1.0
2026-05-12,BBB,32.59,33.4,32.09,32.75,61069.0,2010000,1.0
2026-05-13,BBB,32.56,33.37,32.07,32.72,61125.0,2020000,1.0
2026-05-14,BBB,32.56,33.37,32.07,32.72,61125.0,2030000,1.0
2026-05-15,BBB,32.59,33.4,32.09,32.75,61069.0,2040000,1.0
2026-05-18,BBB,32.5,33.31,32.01,32.66,61237.0,2050000,1.0
2026-05-19,BBB,32.44,33.25,31.95,32.6,61350.0,2060000,1.0
2026-05-20,BBB,32.41,33.22,31.92,32.57,61406.0,2000000,1.0
2026-05-21,BBB,32.41,33.22,31.92,32.57,61406.0,2010000,1.0
2026-05-22,BBB,32.44,33.25,31.95,32.6,61350.0,2020000,1.0
2026-05-25,BBB,32.35,33.16,31.86,32.51,61520.0,2030000,1.0
2026-05-26,BBB,32.29,33.1,31.8,32.45,61633.0,2040000,1.0
2026-05-27,BBB,32.26,33.07,31.77,32.42,61690.0,2050000,1.0
2026-05-28,BBB,32.26,33.07,31.77,32.42,61690.0,2060000,1.0
2026-05-29,BBB,32.29,33.1,31.8,32.45,61633.0,2000000,1.0
2026-06-01,BBB,32.2,33.01,31.71,32.36,61805.0,2010000,1.0
2026-06-02,BBB,32.14,32.95,31.65,32.3,61920.0,2020000,1.0
2026-06-03,BBB,32.11,32.92,31.62,32.27,61977.0,2030000,1.0
2026-06-04,BBB,32.11,32.92,31.62,32.27,61977.0,2040000,1.0
2026-06-05,BBB,32.14,32.95,31.65,32.3,61920.0,2050000,1.0
2026-06-08,BBB,32.05,32.85,31.57,32.21,62093.0,2060000,1.0
2026-06-09,BBB,31.99,32.79,31.51,32.15,62208.0,2000000,1.0
2026-06-10,BBB,31.96,32.76,31.48,32.12,62267.0,2010000,1.0
2026-06-11,BBB,31.96,32.76,31.48,32.12,62267.0,2020000,1.0
2026-06-12,BBB,31.99,32.79,31.51,32.15,62208.0,2030000,1.0
2026-06-15,BBB,31.9,32.7,31.42,32.06,62383.0,2040000,1.0
2026-06-16,BBB,31.84,32.64,31.36,32.0,62500.0,2050000,1.0
2026-06-17,BBB,31.81,32.61,31.33,31.97,62559.0,2060000,1.0
2026-06-18,BBB,31.81,32.61,31.33,31.97,62559.0,2000000,1.0
2026-06-19,BBB,31.84,32.64,31.36,32.0,62500.0,2010000,1.0
2026-06-22,BBB,31.75,32.55,31.27,31.91,62676.0,2020000,1.0
2026-06-23,BBB,31.69,32.49,31.21,31.85,62794.0,2030000,1.0
2026-06-24,BBB,31.66,32.46,31.18,31.82,62854.0,2040000,1.0
2026-06-25,BBB,31.66,32.46,31.18,31.82,62854.0,2050000,1.0
2026-06-26,BBB,31.69,32.49,31.21,31.85,62794.0,2060000,1.0
2026-06-29,BBB,31.6,32.4,31.12,31.76,62972.0,2000000,1.0
2026-06-30,BBB,31.54,32.33,31.07,31.7,63091.0,2010000,1.0
2026-07-01,BBB,31.51,32.3,31.04,31.67,63151.0,2020000,1.0
2026-07-02,BBB,31.51,32.3,31.04,31.67,63151.0,2030000,1.0
2026-07-03,BBB,31.54,32.33,31.07,31.7,63091.0,2040000,1.0
2026-07-06,BBB,31.45,32.24,30.98,31.61,63271.0,2050000,1.0
2026-07-07,BBB,31.39,32.18,30.92,31.55,63391.0,2060000,1.0
2026-07-08,BBB,31.36,32.15,30.89,31.52,63452.0,2000000,1.0
2026-07-09,BBB,31.36,32.15,30.89,31.52,63452.0,2010000,1.0
2026-07-10,BBB,31.39,32.18,30.92,31.55,63391.0,2020000,1.0
2026-02-02,CCC,11.96,12.26,11.78,12.02,58236.0,700000,1.0
2026-02-03,CCC,12.01,12.31,11.83,12.07,57995.0,710000,1.0
2026-02-04,CCC,12.09,12.39,11.91,12.15,57613.0,720000,1.0
2026-02-05,CCC,12.2,12.51,12.01,12.26,57096.0,730000,1.0
2026-02-06,CCC,12.34,12.65,12.15,12.4,56452.0,740000,1.0
2026-02-09,CCC,12.36,12.67,12.17,12.42,56361.0,750000,1.0
2026-02-10,CCC,12.41,12.72,12.22,12.47,56135.0,760000,1.0
2026-02-11,CCC,12.49,12.8,12.3,12.55,55777.0,700000,1.0
2026-02-12,CCC,12.6,12.91,12.41,12.66,55292.0,710000,1.0
2026-02-13,CCC,12.74,13.06,12.54,12.8,54688.0,720000,1.0
2026-02-16,CCC,12.76,13.08,12.56,12.82,54602.0,730000,1.0
2026-02-17,CCC,12.81,13.13,12.61,12.87,54390.0,740000,1.0
2026-02-18,CCC,12.89,13.21,12.69,12.95,54054.0,750000,1.0
2026-02-19,CCC,12.99,13.32,12.8,13.06,53599.0,760000,1.0
2026-02-20,CCC,13.13,13.46,12.94,13.2,53030.0,700000,1.0
2026-02-23,CCC,13.15,13.48,12.96,13.22,52950.0,710000,1.0
2026-02-24,CCC,13.2,13.54,13.0,13.27,52751.0,720000,1.0
2026-02-25,CCC,13.28,13.62,13.08,13.35,52434.0,730000,1.0
2026-02-26,CCC,13.39,13.73,13.19,13.46,52006.0,740000,1.0
2026-02-27,CCC,13.53,13.87,13.33,13.6,51471.0,750000,1.0
2026-03-02,CCC,13.55,13.89,13.35,13.62,51395.0,760000,1.0
2026-03-03,CCC,13.6,13.94,13.4,13.67,51207.0,700000,1.0
2026-03-04,CCC,13.68,14.03,13.48,13.75,50909.0,710000,1.0
2026-03-05,CCC,13.79,14.14,13.58,13.86,50505.0,720000,1.0
2026-03-06,CCC,13.93,14.28,13.72,14.0,50000.0,730000,1.0
2026-03-09,CCC,13.95,14.3,13.74,14.02,49929.0,740000,1.0
2026-03-10,CCC,14.0,14.35,13.79,14.07,49751.0,750000,1.0
2026-03-11,CCC,14.08,14.43,13.87,14.15,49470.0,760000,1.0
2026-03-12,CCC,14.19,14.55,13.97,14.26,49088.0,700000,1.0
2026-03-13,CCC,14.33,14.69,14.11,14.4,48611.0,710000,1.0
2026-03-16,CCC,14.35,14.71,14.13,14.42,48544.0,720000,1.0
2026-03-17,CCC,14.4,14.76,14.18,14.47,48376.0,730000,1.0
2026-03-18,CCC,14.48,14.84,14.26,14.55,48110.0,740000,1.0
2026-03-19,CCC,14.59,14.95,14.37,14.66,47749.0,750000,1.0
2026-03-20,CCC,14.73,15.1,14.5,14.8,47297.0,760000,1.0
2026-03-23,CCC,14.75,15.12,14.52,14.82,47233.0,700000,1.0
2026-03-24,CCC,14.8,15.17,14.57,14.87,47075.0,710000,1.0
2026-03-25,CCC,14.88,15.25,14.65,14.95,46823.0,720000,1.0
2026-03-26,CCC,14.98,15.36,14.76,15.06,46481.0,730000,1.0
2026-03-27,CCC,15.12,15.5,14.9,15.2,46053.0,740000,1.0
2026-03-30,CCC,15.14,15.52,14.92,15.22,45992.0,750000,1.0
2026-03-31,CCC,15.19,15.58,14.96,15.27,45842.0,760000,1.0
2026-04-01,CCC,15.27,15.66,15.04,15.35,45603.0,700000,1.0
2026-04-02,CCC,15.38,15.77,15.15,15.46,45278.0,710000,1.0
2026-04-03,CCC,15.52,15.91,15.29,15.6,44872.0,720000,1.0
2026-04-06,CCC,15.54,15.93,15.31,15.62,44814.0,730000,1.0
2026-04-07,CCC,15.59,15.98,15.36,15.67,44671.0,740000,1.0
2026-04-08,CCC,15.67,16.07,15.44,15.75,44444.0,750000,1.0
2026-04-09,CCC,15.78,16.18,15.54,15.86,44136.0,760000,1.0
2026-04-10,CCC,15.92,16.32,15.68,16.0,43750.0,700000,1.0
2026-04-13,CCC,15.94,16.34,15.7,16.02,43695.0,710000,1.0
2026-04-14,CCC,15.99,16.39,15.75,16.07,43559.0,720000,1.0
2026-04-15,CCC,16.07,16.47,15.83,16.15,43344.0,730000,1.0
2026-04-16,CCC,16.18,16.59,15.93,16.26,43050.0,740000,1.0
2026-04-17,CCC,16.32,16.73,16.07,16.4,42683.0,750000,1.0
2026-04-20,CCC,16.34,16.75,16.09,16.42,42631.0,760000,1.0
2026-04-21,CCC,16.39,16.8,16.14,16.47,42502.0,700000,1.0
2026-04-22,CCC,16.47,16.88,16.22,16.55,42296.0,710000,1.0
2026-04-23,CCC,16.58,16.99,16.33,16.66,42017.0,720000,1.0
2026-04-24,CCC,16.72,17.14,16.46,16.8,41667.0,730000,1.0
2026-04-27,CCC,16.74,17.16,16.48,16.82,41617.0,740000,1.0
2026-04-28,CCC,16.79,17.21,16.53,16.87,41494.0,750000,1.0
2026-04-29,CCC,16.87,17.29,16.61,16.95,41298.0,760000,1.0
2026-04-30,CCC,16.97,17.4,16.72,17.06,41032.0,700000,1.0
2026-05-01,CCC,17.11,17.54,16.86,17.2,40698.0,710000,1.0
2026-05-04,CCC,17.13,17.56,16.88,17.22,40650.0,720000,1.0
2026-05-05,CCC,17.18,17.62,16.92,17.27,40533.0,730000,1.0
2026-05-06,CCC,17.26,17.7,17.0,17.35,40346.0,740000,1.0
2026-05-07,CCC,17.37,17.81,17.11,17.46,40092.0,750000,1.0
2026-05-08,CCC,17.51,17.95,17.25,17.6,39773.0,760000,1.0
2026-05-11,CCC,17.53,17.97,17.27,17.62,39728.0,700000,1.0
2026-05-12,CCC,17.58,18.02,17.32,17.67,39615.0,710000,1.0
2026-05-13,CCC,17.66,18.1,17.39,17.75,39437.0,720000,1.0
2026-05-14,CCC,17.77,18.22,17.5,17.86,39194.0,730000,1.0
2026-05-15,CCC,17.91,18.36,17.64,18.0,38889.0,740000,1.0
2026-05-18,CCC,17.93,18.38,17.66,18.02,38846.0,750000,1.0
2026-05-19,CCC,17.98,18.43,17.71,18.07,38738.0,760000,1.0
2026-05-20,CCC,18.06,18.51,17.79,18.15,38567.0,700000,1.0
2026-05-21,CCC,18.17,18.63,17.89,18.26,38335.0,710000,1.0
2026-05-22,CCC,18.31,18.77,18.03,18.4,38043.0,720000,1.0
2026-05-25,CCC,18.33,18.79,18.05,18.42,38002.0,730000,1.0
2026-05-26,CCC,18.38,18.84,18.1,18.47,37899.0,740000,1.0
2026-05-27,CCC,18.46,18.92,18.18,18.55,37736.0,750000,1.0
2026-05-28,CCC,18.57,19.03,18.29,18.66,37513.0,760000,1.0
2026-05-29,CCC,18.71,19.18,18.42,18.8,37234.0,700000,1.0
2026-06-01,CCC,18.73,19.2,18.44,18.82,37194.0,710000,1.0
2026-06-02,CCC,18.78,19.25,18.49,18.87,37096.0,720000,1.0
2026-06-03,CCC,18.86,19.33,18.57,18.95,36939.0,730000,1.0
2026-06-04,CCC,18.96,19.44,18.68,19.06,36726.0,740000,1.0
2026-06-05,CCC,19.1,19.58,18.82,19.2,36458.0,750000,1.0
2026-06-08,CCC,19.12,19.6,18.84,19.22,36420.0,760000,1.0
2026-06-09,CCC,19.17,19.66,18.88,19.27,36326.0,700000,1.0
2026-06-10,CCC,19.25,19.74,18.96,19.35,36176.0,710000,1.0
2026-06-11,CCC,19.36,19.85,19.07,19.46,35971.0,720000,1.0
2026-06-12,CCC,19.5,19.99,19.21,19.6,35714.0,730000,1.0
2026-06-15,CCC,19.52,20.01,19.23,19.62,35678.0,740000,1.0
2026-06-16,CCC,19.57,20.06,19.28,19.67,35587.0,750000,1.0
2026-06-17,CCC,19.65,20.14,19.35,19.75,35443.0,760000,1.0
2026-06-18,CCC,19.76,20.26,19.46,19.86,35247.0,700000,1.0
2026-06-19,CCC,19.9,20.4,19.6,20.0,35000.0,710000,1.0
2026-06-22,CCC,19.92,20.42,19.62,20.02,34965.0,720000,1.0
2026-06-23,CCC,19.97,20.47,19.67,20.07,34878.0,730000,1.0
2026-06-24,CCC,20.05,20.55,19.75,20.15,34739.0,740000,1.0
2026-06-25,CCC,20.16,20.67,19.85,20.26,34551.0,750000,1.0
2026-06-26,CCC,20.3,20.81,19.99,20.4,34314.0,760000,1.0
2026-06-29,CCC,20.32,20.83,20.01,20.42,34280.0,700000,1.0
2026-06-30,CCC,20.37,20.88,20.06,20.47,34196.0,710000,1.0
2026-07-01,CCC,20.45,20.96,20.14,20.55,34063.0,720000,1.0
2026-07-02,CCC,20.56,21.07,20.25,20.66,33882.0,730000,1.0
2026-07-03,CCC,20.7,21.22,20.38,20.8,33654.0,740000,1.0
2026-07-06,CCC,20.72,21.24,20.4,20.82,33622.0,750000,1.0
2026-07-07,CCC,20.77,21.29,20.45,20.87,33541.0,760000,1.0
2026-07-08,CCC,20.85,21.37,20.53,20.95,33413.0,700000,1.0
2026-07-09,CCC,20.95,21.48,20.64,21.06,33238.0,710000,1.0
2026-07-10,CCC,21.09,21.62,20.78,21.2,33019.0,720000,1.0
